brand,country,industry,website,products,description,mission,overall_score,environment_score,environment_products,environment_practices,environment_outputs,environment_inputs,certification,target_is_environmental,target_audit_label,combined_text,clean_text,audit_score,audit_label
"affect conf, llc",United States,"other professional, scientific & tech",affectconf.com,community conference,"affect is an annual 2-day conference focused on the work, design, and culture of social change.",affect’s mission is to educate and inspire at the intersection of social change and systemic design by bringing people together and giving underrepresented voices a platform for their stories and experiences.,108.5,13.2,unknown,12.6,2.5,2.1,b-corp,0,Fact Based,"affect is an annual 2-day conference focused on the work, design, and culture of social change. affect’s mission is to educate and inspire at the intersection of social change and systemic design by bringing people together and giving underrepresented voices a platform for their stories and experiences. community conference other professional, scientific & tech",affect is an annual 2day conference focused on the work design and culture of social change affects mission is to educate and inspire at the intersection of social change and systemic design by bringing people together and giving underrepresented voices a platform for their stories and experiences community conference other professional scientific  tech,2,0
african bronze honey company inc,Canada,food products,www.africanbronzehoney.com,honey & related products,"we import honey from 6000 independent beekeepers from the headwaters of the zambezi river and sell it to schools, not for profits and clubs who use it to fund raise for their projects. we then re-invest a portion of our profits back into beekeeping.",to be a bridge for least developed areas of africa to produce world class products and market them to developed economies and create profit for the stakeholders.,100.4,26.5,unknown,6.5,1.5,1.5,b-corp,0,Fact Based,"we import honey from 6000 independent beekeepers from the headwaters of the zambezi river and sell it to schools, not for profits and clubs who use it to fund raise for their projects. we then re-invest a portion of our profits back into beekeeping. to be a bridge for least developed areas of africa to produce world class products and market them to developed economies and create profit for the stakeholders. honey & related products food products",we import honey from 6000 independent beekeepers from the headwaters of the zambezi river and sell it to schools not for profits and clubs who use it to fund raise for their projects we then reinvest a portion of our profits back into beekeeping to be a bridge for least developed areas of africa to produce world class products and market them to developed economies and create profit for the stakeholders honey  related products food products,2,0
african clean energy,Netherlands,solar power generation,www.africancleanenergy.com,ace manufactures and distributes the ace 1 solar biomass energy system.,"african clean energy (ace) is an international energy company currently operating in the netherlands, lesotho, uganda and cambodia. we manufacture our products in lesotho and sell them directly to our customers through inclusive financing models.",our mission is to enable clean cooking and sustainable energy for all.,148.9,21.1,unknown,10.0,2.8,3.7,b-corp,1,Marketing Hype,"african clean energy (ace) is an international energy company currently operating in the netherlands, lesotho, uganda and cambodia. we manufacture our products in lesotho and sell them directly to our customers through inclusive financing models. our mission is to enable clean cooking and sustainable energy for all. ace manufactures and distributes the ace 1 solar biomass energy system. solar power generation",african clean energy ace is an international energy company currently operating in the netherlands lesotho uganda and cambodia we manufacture our products in lesotho and sell them directly to our customers through inclusive financing models our mission is to enable clean cooking and sustainable energy for all ace manufactures and distributes the ace 1 solar biomass energy system solar power generation,1,1
agents of change partners,Canada,"other professional, scientific & tech",www.agentsofchangepartners.com,unknown,"agents of change partners catalyzes a three-way exchange of benefit between real estate agents, their clients, and the clients' favoured not-for-profit. agents receive referrals, clients receive customized, data-driven matches, and nfps receive donations.","to strengthen civil society by fostering independence, sustainability and resiliency within non-profit organizations. to ensure a positive real estate experience for every client by custom-matching each with an extraordinary agent.",102.5,0.0,unknown,0.0,0.0,0.0,b-corp,0,Fact Based,"agents of change partners catalyzes a three-way exchange of benefit between real estate agents, their clients, and the clients' favoured not-for-profit. agents receive referrals, clients receive customized, data-driven matches, and nfps receive donations. to strengthen civil society by fostering independence, sustainability and resiliency within non-profit organizations. to ensure a positive real estate experience for every client by custom-matching each with an extraordinary agent. unknown other professional, scientific & tech",agents of change partners catalyzes a threeway exchange of benefit between real estate agents their clients and the clients favoured notforprofit agents receive referrals clients receive customized datadriven matches and nfps receive donations to strengthen civil society by fostering independence sustainability and resiliency within nonprofit organizations to ensure a positive real estate experience for every client by custommatching each with an extraordinary agent unknown other professional scientific  tech,2,0
aggelos,France,other info service activities,www.aggelos.fr,"global communication, creative marketing, branding, advertising, and web design","aggelos est une agence de communication globale capable d’appréhender l’ensemble de la communication de nos clients, et d’en garantir la cohérence.","nous envisageons notre rôle auprès de nos clients comme un apport de compétences en matière de communication, tant sur le plan stratégique qu’opérationnel, privilégiant l'écoute et à la co-construction.",82.8,6.3,unknown,6.3,0.7,1.0,b-corp,0,Marketing Hype,"aggelos est une agence de communication globale capable d’appréhender l’ensemble de la communication de nos clients, et d’en garantir la cohérence. nous envisageons notre rôle auprès de nos clients comme un apport de compétences en matière de communication, tant sur le plan stratégique qu’opérationnel, privilégiant l'écoute et à la co-construction. global communication, creative marketing, branding, advertising, and web design other info service activities",aggelos est une agence de communication globale capable dapprhender lensemble de la communication de nos clients et den garantir la cohrence nous envisageons notre rle auprs de nos clients comme un apport de comptences en matire de communication tant sur le plan stratgique quoprationnel privilgiant lcoute et  la coconstruction global communication creative marketing branding advertising and web design other info service activities,0,1
aglh/ estancia las quinas,Argentina,agricultural processing,www.aglh.com.ar,unknown,"estancia las quinas nace en octubre de 2003 en general las heras, un pequeño pueblo del interior a unos 150 kms de la ciudad de buenos aires, como elaboradora  de productos orgánicos certificados, libres de gluten y muchos de ellos sin azúcar.","ofrecer a nuestros clientes consumidores , solo productos alimenticios 100 % naturales de máxima calidad y pureza. cuidando el entorno que nos rodea de manera de preservar su estado para el respeto de la tierra, aire y agua.",96.2,41.3,unknown,28.3,9.7,9.7,b-corp,0,Fact Based,"estancia las quinas nace en octubre de 2003 en general las heras, un pequeño pueblo del interior a unos 150 kms de la ciudad de buenos aires, como elaboradora  de productos orgánicos certificados, libres de gluten y muchos de ellos sin azúcar. ofrecer a nuestros clientes consumidores , solo productos alimenticios 100 % naturales de máxima calidad y pureza. cuidando el entorno que nos rodea de manera de preservar su estado para el respeto de la tierra, aire y agua. unknown agricultural processing",estancia las quinas nace en octubre de 2003 en general las heras un pequeo pueblo del interior a unos 150 kms de la ciudad de buenos aires como elaboradora  de productos orgnicos certificados libres de gluten y muchos de ellos sin azcar ofrecer a nuestros clientes consumidores  solo productos alimenticios 100 % naturales de mxima calidad y pureza cuidando el entorno que nos rodea de manera de preservar su estado para el respeto de la tierra aire y agua unknown agricultural processing,2,0
agova,Zambia,management  consultant - for-profits,bdsafrica.com,we offer embedded consultancy services for the private sector for shared value,"a consultancy service that delivers management and technical advice to actors in the business sector in zambia to further the expansion of business models and norms that increase economic, social and environmental prosperity.",to make shared value the new way of doing business.,119.4,3.7,unknown,3.3,1.5,1.2,b-corp,0,Marketing Hype,"a consultancy service that delivers management and technical advice to actors in the business sector in zambia to further the expansion of business models and norms that increase economic, social and environmental prosperity. to make shared value the new way of doing business. we offer embedded consultancy services for the private sector for shared value management  consultant - for-profits",a consultancy service that delivers management and technical advice to actors in the business sector in zambia to further the expansion of business models and norms that increase economic social and environmental prosperity to make shared value the new way of doing business we offer embedded consultancy services for the private sector for shared value management  consultant  forprofits,0,1
aguagente s.a.p.i. de c.v.,Mexico,other personal services,aguagente.com,unlimited* purified water directly to households,"with aguagente you can obtain unlimited* purified water in your home for a small monthly cost, in a simple, effective and unique way.",to provide unlimited purified water to everyone in mexico,86.7,25.3,unknown,22.5,8.7,3.5,b-corp,0,Marketing Hype,"with aguagente you can obtain unlimited* purified water in your home for a small monthly cost, in a simple, effective and unique way. to provide unlimited purified water to everyone in mexico unlimited* purified water directly to households other personal services",with aguagente you can obtain unlimited purified water in your home for a small monthly cost in a simple effective and unique way to provide unlimited purified water to everyone in mexico unlimited purified water directly to households other personal services,0,1
aguas danone argentina,Argentina,beverages,corporate.danone.com.ar/ar/descubri/nuestros-negocios/aguas,water & beverages production.,aguas danone argentina is a subsidiary of group danone in argentina. it has two bottling plants and elaborates water and beverages.,to bring health through food to as many people as possible.,80.4,25.9,unknown,25.9,11.2,6.3,b-corp,0,Marketing Hype,aguas danone argentina is a subsidiary of group danone in argentina. it has two bottling plants and elaborates water and beverages. to bring health through food to as many people as possible. water & beverages production. beverages,aguas danone argentina is a subsidiary of group danone in argentina it has two bottling plants and elaborates water and beverages to bring health through food to as many people as possible water  beverages production beverages,0,1
aguas santa amalia s.a.,Chile,beverages,www.aspringwater.com,bottled spring water,unknown,"somos una familia que busca poner a disposición de chile y el mundo agua pura en su estado natural que proviene de la fuente, ubicada en la comuna de cunco, ix región de chile,  conservando el estado nativo del lugar y la armonía con la comunidad local.",97.1,13.2,unknown,13.2,4.2,3.9,b-corp,0,Marketing Hype,"unknown somos una familia que busca poner a disposición de chile y el mundo agua pura en su estado natural que proviene de la fuente, ubicada en la comuna de cunco, ix región de chile,  conservando el estado nativo del lugar y la armonía con la comunidad local. bottled spring water beverages",unknown somos una familia que busca poner a disposicin de chile y el mundo agua pura en su estado natural que proviene de la fuente ubicada en la comuna de cunco ix regin de chile  conservando el estado nativo del lugar y la armona con la comunidad local bottled spring water beverages,0,1
aguialabs,France,management  consultant - for-profits,www.aguialabs.com,design of innovative business ventures and alternative finance for social impact,aguialabs is an international cooperative network of independent change makers who connect to design and build alternative business models that generate positive and sustainable social impact,our mission is to create business models that are relevant to the future by bringing together businesses and the community,93.2,1.5,unknown,1.4,1.1,0.3,b-corp,1,Marketing Hype,aguialabs is an international cooperative network of independent change makers who connect to design and build alternative business models that generate positive and sustainable social impact our mission is to create business models that are relevant to the future by bringing together businesses and the community design of innovative business ventures and alternative finance for social impact management  consultant - for-profits,aguialabs is an international cooperative network of independent change makers who connect to design and build alternative business models that generate positive and sustainable social impact our mission is to create business models that are relevant to the future by bringing together businesses and the community design of innovative business ventures and alternative finance for social impact management  consultant  forprofits,-2,1
air - agence innovation responsable,France,environmental consulting,www.air-agence.com,"sustainability consulting, innovation management, workshop moderation","air is a consultancy for responsible innovation. we help companies, territories to innovate in responsible manner.",we imagine a world where innovation is responsible toward man and the environment… a world where innovation helps companies and territories create value and take responsibility.,107.9,10.0,unknown,10.0,1.8,2.6,b-corp,0,Marketing Hype,"air is a consultancy for responsible innovation. we help companies, territories to innovate in responsible manner. we imagine a world where innovation is responsible toward man and the environment… a world where innovation helps companies and territories create value and take responsibility. sustainability consulting, innovation management, workshop moderation environmental consulting",air is a consultancy for responsible innovation we help companies territories to innovate in responsible manner we imagine a world where innovation is responsible toward man and the environment a world where innovation helps companies and territories create value and take responsibility sustainability consulting innovation management workshop moderation environmental consulting,-1,1
akamai,United States,personal care products,www.akamaibasics.com,"minimalist, natural, healthy unisex personal care and wellness products.","our mission is to help people break free from the mainstream personal care paradigm that promotes too many products, chemicals and complexity – at a high cost to our health, wallets and environment.  we believe less is more.","our mission is to promote health and well being while reducing waste and excess consumerism over the current paradigm of cost, complexity and chemicals in the personal care industry.",80.1,23.0,unknown,5.1,0.0,2.3,b-corp,0,Marketing Hype,"our mission is to help people break free from the mainstream personal care paradigm that promotes too many products, chemicals and complexity – at a high cost to our health, wallets and environment.  we believe less is more. our mission is to promote health and well being while reducing waste and excess consumerism over the current paradigm of cost, complexity and chemicals in the personal care industry. minimalist, natural, healthy unisex personal care and wellness products. personal care products",our mission is to help people break free from the mainstream personal care paradigm that promotes too many products chemicals and complexity  at a high cost to our health wallets and environment  we believe less is more our mission is to promote health and well being while reducing waste and excess consumerism over the current paradigm of cost complexity and chemicals in the personal care industry minimalist natural healthy unisex personal care and wellness products personal care products,0,1
alaska glacial mud co.,United States,personal care products,www.alaskaglacialmud.com,skin care,"alaska glacial mud co. sustainably hand-carves pure glacial mineral mud from the copper river delta on the southcentral coast of alaska and manufactures spa quality masques and soaps that detoxify, nourish, exfoliate and soften the skin.","in addition to being purveyors of the finest alaska glacial mineral mud products, alaska glacial mud co. celebrates the highly productive copper river ecosystem and believes in harmonizing commerce with potential for social impact.  we pledge 10% of our p",132.0,32.4,0.0,32.2,1.5,3.4,b-corp,0,Fact Based,"alaska glacial mud co. sustainably hand-carves pure glacial mineral mud from the copper river delta on the southcentral coast of alaska and manufactures spa quality masques and soaps that detoxify, nourish, exfoliate and soften the skin. in addition to being purveyors of the finest alaska glacial mineral mud products, alaska glacial mud co. celebrates the highly productive copper river ecosystem and believes in harmonizing commerce with potential for social impact.  we pledge 10% of our p skin care personal care products",alaska glacial mud co sustainably handcarves pure glacial mineral mud from the copper river delta on the southcentral coast of alaska and manufactures spa quality masques and soaps that detoxify nourish exfoliate and soften the skin in addition to being purveyors of the finest alaska glacial mineral mud products alaska glacial mud co celebrates the highly productive copper river ecosystem and believes in harmonizing commerce with potential for social impact  we pledge 10% of our p skin care personal care products,2,0
alaya,Brazil,other personal services,www.alaya.com.br,"rafting, zipline, canopy...","outdoor activities for public, schools and companies","incentivar a cultura da vida ao ar livre e proporcionar um encontro inesquecível consigo e com a natureza numa experiência autêntica, para famílias, empresas e escolas, pessoas de todas as idades e todos os níveis.",81.1,9.0,unknown,8.6,1.5,0.3,b-corp,0,Marketing Hype,"outdoor activities for public, schools and companies incentivar a cultura da vida ao ar livre e proporcionar um encontro inesquecível consigo e com a natureza numa experiência autêntica, para famílias, empresas e escolas, pessoas de todas as idades e todos os níveis. rafting, zipline, canopy... other personal services",outdoor activities for public schools and companies incentivar a cultura da vida ao ar livre e proporcionar um encontro inesquecvel consigo e com a natureza numa experincia autntica para famlias empresas e escolas pessoas de todas as idades e todos os nveis rafting zipline canopy other personal services,0,1
albina community bank,United States,deposit bank - developed markets,albinabank.com,"personal, small business and commercial banking deposit and loan services; idas.",albina is the only cdfi-certified commercial bank headquartered in oregon.  we promote community development and work in market niches that are often underserved by other financial institutions and provide financial and educational services locally.,albina community bank creates hope and financial opportunity by building lasting banking relationships with those who care the most about our communities.,111.7,2.4,unknown,1.7,0.0,0.5,b-corp,0,Fact Based,"albina is the only cdfi-certified commercial bank headquartered in oregon.  we promote community development and work in market niches that are often underserved by other financial institutions and provide financial and educational services locally. albina community bank creates hope and financial opportunity by building lasting banking relationships with those who care the most about our communities. personal, small business and commercial banking deposit and loan services; idas. deposit bank - developed markets",albina is the only cdficertified commercial bank headquartered in oregon  we promote community development and work in market niches that are often underserved by other financial institutions and provide financial and educational services locally albina community bank creates hope and financial opportunity by building lasting banking relationships with those who care the most about our communities personal small business and commercial banking deposit and loan services idas deposit bank  developed markets,2,0
alcagüete,Colombia,food products,www.alcaguete.com,healthy snacks,"alcaguete (www.alcaguete.com ) is a company that believes that everything is better when shared which is why it designs products to promote sharing and wellbeing. in order to materialize this experience, the company produces healthy and delicious snacks t","at alcaguete, we believe that everything is better when you share with those around you; we produce and design products to promote a community of sharing that in turn creates wellbeing.",98.8,8.7,unknown,7.3,1.3,3.7,b-corp,0,Marketing Hype,"alcaguete (www.alcaguete.com ) is a company that believes that everything is better when shared which is why it designs products to promote sharing and wellbeing. in order to materialize this experience, the company produces healthy and delicious snacks t at alcaguete, we believe that everything is better when you share with those around you; we produce and design products to promote a community of sharing that in turn creates wellbeing. healthy snacks food products",alcaguete wwwalcaguetecom  is a company that believes that everything is better when shared which is why it designs products to promote sharing and wellbeing in order to materialize this experience the company produces healthy and delicious snacks t at alcaguete we believe that everything is better when you share with those around you we produce and design products to promote a community of sharing that in turn creates wellbeing healthy snacks food products,0,1
alessi s.p.a.,Italy,other manufacturing,www.alessi.com,design housewares,"in almost a century of history, the company has gradually evolved to become one of the leading “factories of italian design”, capable of applying its expertise and excellence in design management to many different product types","alessi’s mission is now one of translating its quest for the most advanced cultural, aesthetic, design and functional quality into mass production.",82.3,22.7,unknown,22.4,7.5,7.8,b-corp,0,Marketing Hype,"in almost a century of history, the company has gradually evolved to become one of the leading “factories of italian design”, capable of applying its expertise and excellence in design management to many different product types alessi’s mission is now one of translating its quest for the most advanced cultural, aesthetic, design and functional quality into mass production. design housewares other manufacturing",in almost a century of history the company has gradually evolved to become one of the leading factories of italian design capable of applying its expertise and excellence in design management to many different product types alessis mission is now one of translating its quest for the most advanced cultural aesthetic design and functional quality into mass production design housewares other manufacturing,0,1
alexis advisors,United States,investment advising,www.alexisadvisors.com,financial services,"alexis advisors is a fee-only firm offering financial planning and investment advisory services. we work with families, individuals, and businesses to integrate their personal and social values with their financial goals.","we aim to change the way people interact with their money; our mission is to help individuals and families lead a purpose-driven life, offering planning and investment options that help them align their money with what they value most.",99.2,6.9,0.0,6.5,2.5,1.4,b-corp,0,Fact Based,"alexis advisors is a fee-only firm offering financial planning and investment advisory services. we work with families, individuals, and businesses to integrate their personal and social values with their financial goals. we aim to change the way people interact with their money; our mission is to help individuals and families lead a purpose-driven life, offering planning and investment options that help them align their money with what they value most. financial services investment advising",alexis advisors is a feeonly firm offering financial planning and investment advisory services we work with families individuals and businesses to integrate their personal and social values with their financial goals we aim to change the way people interact with their money our mission is to help individuals and families lead a purposedriven life offering planning and investment options that help them align their money with what they value most financial services investment advising,2,0
alfa accountants en adviseurs,Netherlands,other business support,www.alfa.nl,"accounting services, auditing services, tax advisory, legal advisory","alfa accountants and consultants is a consultancy for small and medium-sized enterprises and the agricultural sector in the field of accountancy, tax, legal and business advice. alfa was originally established by the agricultural sector.","we have defined ten core values that form the basis of our daily actions and from which we develop ourselves, our culture, our brand and our business strategy",101.9,9.3,unknown,8.8,1.5,3.2,b-corp,0,Fact Based,"alfa accountants and consultants is a consultancy for small and medium-sized enterprises and the agricultural sector in the field of accountancy, tax, legal and business advice. alfa was originally established by the agricultural sector. we have defined ten core values that form the basis of our daily actions and from which we develop ourselves, our culture, our brand and our business strategy accounting services, auditing services, tax advisory, legal advisory other business support",alfa accountants and consultants is a consultancy for small and mediumsized enterprises and the agricultural sector in the field of accountancy tax legal and business advice alfa was originally established by the agricultural sector we have defined ten core values that form the basis of our daily actions and from which we develop ourselves our culture our brand and our business strategy accounting services auditing services tax advisory legal advisory other business support,4,0
algramo,Chile,general stores (isic 471),www.algramo.com,shopping consulting,algramo es un sistema de venta de productos a granel al detalle en envases reutilizables en almacenes de barrio.,nuestro objetivo es reducir los precios de compra de las familias de manera sustentable además de apoyar a los almaceneros de barrio para poder competir con las grandes cadenas de supermercados.,91.0,26.7,unknown,14.3,1.2,8.9,b-corp,0,Fact Based,algramo es un sistema de venta de productos a granel al detalle en envases reutilizables en almacenes de barrio. nuestro objetivo es reducir los precios de compra de las familias de manera sustentable además de apoyar a los almaceneros de barrio para poder competir con las grandes cadenas de supermercados. shopping consulting general stores (isic 471),algramo es un sistema de venta de productos a granel al detalle en envases reutilizables en almacenes de barrio nuestro objetivo es reducir los precios de compra de las familias de manera sustentable adems de apoyar a los almaceneros de barrio para poder competir con las grandes cadenas de supermercados shopping consulting general stores isic 471,2,0
align work health,Australia,"other professional, scientific & tech",www.alignworkhealth.com.au.,workplace health services,"workplace health and wellness, injury prevention, early intervention, claims management and job seeking programs.",help the local community businesses thrive through productivity and health gains,110.7,4.0,unknown,3.5,0.7,0.2,b-corp,0,Marketing Hype,"workplace health and wellness, injury prevention, early intervention, claims management and job seeking programs. help the local community businesses thrive through productivity and health gains workplace health services other professional, scientific & tech",workplace health and wellness injury prevention early intervention claims management and job seeking programs help the local community businesses thrive through productivity and health gains workplace health services other professional scientific  tech,0,1
"alima cosmetics, inc.",United States,personal care products,alimapure.com,cosmetics,"minimal ingredients for maximum impact. all our products are formulated with this in mind. we use only the highest quality, purest ingredients, never synthetic dyes. without compromise our products are never tested on animals.","alima cosmetics’ mission is:
	to create pure, beautiful, versatile products to delight the mind, body, and spirit. 
	to foster creativity and joyful self-expression.
	to serve our global community though environmental stewardship and social service.",83.5,32.0,0.0,31.1,3.7,9.3,b-corp,0,Marketing Hype,"minimal ingredients for maximum impact. all our products are formulated with this in mind. we use only the highest quality, purest ingredients, never synthetic dyes. without compromise our products are never tested on animals. alima cosmetics’ mission is:
	to create pure, beautiful, versatile products to delight the mind, body, and spirit. 
	to foster creativity and joyful self-expression.
	to serve our global community though environmental stewardship and social service. cosmetics personal care products","minimal ingredients for maximum impact all our products are formulated with this in mind we use only the highest quality purest ingredients never synthetic dyes without compromise our products are never tested on animals alima cosmetics mission is
	to create pure beautiful versatile products to delight the mind body and spirit 
	to foster creativity and joyful selfexpression
	to serve our global community though environmental stewardship and social service cosmetics personal care products",0,1
all across africa,United States,not in use,allacrossafrica.org,fair trade baskets and jewelry,"all across africa is a social business that partners with producer groups in africa and connects their production to markets in the us, making a variety of fair trade products available for customers.",all across africa is a social business dedicated to creating income generating opportunities for rural and marginalized across the continent of africa.,91.9,16.5,4.2,11.8,2.2,4.1,b-corp,0,Marketing Hype,"all across africa is a social business that partners with producer groups in africa and connects their production to markets in the us, making a variety of fair trade products available for customers. all across africa is a social business dedicated to creating income generating opportunities for rural and marginalized across the continent of africa. fair trade baskets and jewelry not in use",all across africa is a social business that partners with producer groups in africa and connects their production to markets in the us making a variety of fair trade products available for customers all across africa is a social business dedicated to creating income generating opportunities for rural and marginalized across the continent of africa fair trade baskets and jewelry not in use,0,1
all good by elemental herbs,United States,personal care products,www.allgoodproducts.com,organic herbal healing products,"elemental herbs is the result of a deep love for people and the planet, recognizing the essential connection between wilderness and wellness. each product incorporates organic herbs and ingredients that have been used as remedies for generations.","elemental herbs’ mission is to grow a company with environmental, social and economic vitality by offering organic healing products to customers around the world through wholesale accounts and internet retail sales",122.7,39.6,unknown,25.2,5.8,8.5,b-corp,0,Marketing Hype,"elemental herbs is the result of a deep love for people and the planet, recognizing the essential connection between wilderness and wellness. each product incorporates organic herbs and ingredients that have been used as remedies for generations. elemental herbs’ mission is to grow a company with environmental, social and economic vitality by offering organic healing products to customers around the world through wholesale accounts and internet retail sales organic herbal healing products personal care products",elemental herbs is the result of a deep love for people and the planet recognizing the essential connection between wilderness and wellness each product incorporates organic herbs and ingredients that have been used as remedies for generations elemental herbs mission is to grow a company with environmental social and economic vitality by offering organic healing products to customers around the world through wholesale accounts and internet retail sales organic herbal healing products personal care products,-1,1
all green recycling inc.,United States,"other professional, scientific & tech",www.all-green.com,"precious metal recovery,electronic recycling and enviormental technology process","precious metal recovery, environmental technology, and electronic recycling with zero footprint.  agr provided e-waste recycling and precious metal recovery.   with its own ip technology, it recovers precious metals such as gold, silver, platinum safely.",to provide sustainable solutions for the proper disposition and recovery of materials from e-waste.  we also train and employ individuals with barriers to employment in the e-waste industry.,110.9,41.5,unknown,15.7,3.2,4.6,b-corp,1,Marketing Hype,"precious metal recovery, environmental technology, and electronic recycling with zero footprint.  agr provided e-waste recycling and precious metal recovery.   with its own ip technology, it recovers precious metals such as gold, silver, platinum safely. to provide sustainable solutions for the proper disposition and recovery of materials from e-waste.  we also train and employ individuals with barriers to employment in the e-waste industry. precious metal recovery,electronic recycling and enviormental technology process other professional, scientific & tech",precious metal recovery environmental technology and electronic recycling with zero footprint  agr provided ewaste recycling and precious metal recovery   with its own ip technology it recovers precious metals such as gold silver platinum safely to provide sustainable solutions for the proper disposition and recovery of materials from ewaste  we also train and employ individuals with barriers to employment in the ewaste industry precious metal recoveryelectronic recycling and enviormental technology process other professional scientific  tech,-1,1
"allbirds, inc.",United States,apparel,www.allbirds.com,shoe retailer,allbirds is dedicated to making the most sustainable footwear they can - shoes people feel good in and good about - using the world’s best natural materials.,"allbirds is on a mission to prove that comfort, good design and sustainability don’t have to be mutually exclusive. their commitment to making better shoes in a better way is fueled by a desire to be a beacon in sustainable manufacturing.",81.9,17.1,unknown,17.1,0.8,7.1,b-corp,1,Marketing Hype,"allbirds is dedicated to making the most sustainable footwear they can - shoes people feel good in and good about - using the world’s best natural materials. allbirds is on a mission to prove that comfort, good design and sustainability don’t have to be mutually exclusive. their commitment to making better shoes in a better way is fueled by a desire to be a beacon in sustainable manufacturing. shoe retailer apparel",allbirds is dedicated to making the most sustainable footwear they can  shoes people feel good in and good about  using the worlds best natural materials allbirds is on a mission to prove that comfort good design and sustainability dont have to be mutually exclusive their commitment to making better shoes in a better way is fueled by a desire to be a beacon in sustainable manufacturing shoe retailer apparel,-1,1
"allcare health, inc.",United States,other human health,www.allcarehealth.com,"medicaid, medicare, electronic health records, and medical office services","we are a physician-led organization leading the way to better healthcare for oregon and its people, with a range of plans designed to meet the state's diverse communities and their health needs.","working together to provide quality, cost-effective healthcare for our communities.",114.8,5.0,unknown,4.3,0.7,2.0,b-corp,0,Marketing Hype,"we are a physician-led organization leading the way to better healthcare for oregon and its people, with a range of plans designed to meet the state's diverse communities and their health needs. working together to provide quality, cost-effective healthcare for our communities. medicaid, medicare, electronic health records, and medical office services other human health",we are a physicianled organization leading the way to better healthcare for oregon and its people with a range of plans designed to meet the states diverse communities and their health needs working together to provide quality costeffective healthcare for our communities medicaid medicare electronic health records and medical office services other human health,0,1
allegro 234,Spain,management  consultant - for-profits,www.allegro234.net,crafted branding company,"with a clear focus on building timeless brands from the future, we help companies to build brands with conscience. realising the power of brands to shape culture and create value","our purpose is to shape compelling businesses. we create sustainable long-lasting value for our clients through developing and revitalising meaningful and familiar brand experiences, for each key audience, at every touch-point",81.9,11.6,0.0,11.6,1.1,3.2,b-corp,1,Marketing Hype,"with a clear focus on building timeless brands from the future, we help companies to build brands with conscience. realising the power of brands to shape culture and create value our purpose is to shape compelling businesses. we create sustainable long-lasting value for our clients through developing and revitalising meaningful and familiar brand experiences, for each key audience, at every touch-point crafted branding company management  consultant - for-profits",with a clear focus on building timeless brands from the future we help companies to build brands with conscience realising the power of brands to shape culture and create value our purpose is to shape compelling businesses we create sustainable longlasting value for our clients through developing and revitalising meaningful and familiar brand experiences for each key audience at every touchpoint crafted branding company management  consultant  forprofits,-2,1
alliant international university,United States,higher education,www.alliant.edu,"university degrees, certifications and credentials",alliant is a professional practice university. our programs prepare students to enter professional careers— our approach to education combines theory and practice; scholarship and application.,"alliant international university prepares students for professional careers of service and leadership, and promotes the discovery and application of knowledge to improve the lives of people in diverse cultures and communities around the world.",83.4,8.1,unknown,7.4,0.6,4.2,b-corp,0,Marketing Hype,"alliant is a professional practice university. our programs prepare students to enter professional careers— our approach to education combines theory and practice; scholarship and application. alliant international university prepares students for professional careers of service and leadership, and promotes the discovery and application of knowledge to improve the lives of people in diverse cultures and communities around the world. university degrees, certifications and credentials higher education",alliant is a professional practice university our programs prepare students to enter professional careers our approach to education combines theory and practice scholarship and application alliant international university prepares students for professional careers of service and leadership and promotes the discovery and application of knowledge to improve the lives of people in diverse cultures and communities around the world university degrees certifications and credentials higher education,0,1
alma natura social sl,Spain,other personal service (isic 9609),www.almanatura.com,rural development & social innovation,"somos una empresa social fundada en 1997 en arroyomolinos de león (huelva), preocupada por la alarmante pérdida de población rural que sufre españa. para ello diseñamos experiencias de aprendizaje transformador con el objetivo de fijar población.",fijar población al entorno rural impulsando oportunidades y empoderando a las personas que habitan el medio rural.,153.8,15.1,unknown,14.3,3.3,5.2,b-corp,0,Fact Based,"somos una empresa social fundada en 1997 en arroyomolinos de león (huelva), preocupada por la alarmante pérdida de población rural que sufre españa. para ello diseñamos experiencias de aprendizaje transformador con el objetivo de fijar población. fijar población al entorno rural impulsando oportunidades y empoderando a las personas que habitan el medio rural. rural development & social innovation other personal service (isic 9609)",somos una empresa social fundada en 1997 en arroyomolinos de len huelva preocupada por la alarmante prdida de poblacin rural que sufre espaa para ello diseamos experiencias de aprendizaje transformador con el objetivo de fijar poblacin fijar poblacin al entorno rural impulsando oportunidades y empoderando a las personas que habitan el medio rural rural development  social innovation other personal service isic 9609,2,0
